,date,entry time,type,entry price,exit time,exit price,result,profit
0,16-02-24,03 : 10,bull,2003.3,03 : 50,2004.58,1.28,1.28
1,16-02-24,16 : 35,bull,1998.8,17 : 35,2007.42,8.62,9.9
2,19-02-24,15 : 05,bull,2018.4,03 : 30,2018.75,0.35,10.25
3,20-02-24,22 : 45,bull,2024.4,03 : 25,2025.31,0.91,11.16
4,21-02-24,11 : 20,bull,2027.4,15 : 05,2030.76,3.36,14.52
5,21-02-24,18 : 45,bull,2025.3,,2024.19,-1.11,13.41
6,22-02-24,13 : 45,bull,2029,,2023.22,-5.78,7.63
7,26-02-24,01 : 20,bull,2034.5,,2029.04,-5.46,2.17
8,27-02-24,19 : 50,bull,2031.8,20 : 15,2035.68,3.88,6.05
9,28-02-24,21 : 55,bull,2032.1,23 : 45,2034.75,2.65,8.7
10,29-02-24,13 : 25,bull,2031.5,,2030.22,-1.28,7.42
11,01-03-24,08 : 00,bull,2045.5,08 : 20,2047.74,2.24,9.66
12,01-03-24,11 : 05,bull,2040.8,12 : 05,2047.7,6.9,16.56
13,01-03-24,17 : 10,bull,2053.6,17 : 20,2061.57,7.97,24.53
14,04-03-24,03 : 40,bull,2081.3,08 : 50,2083.87,2.57,27.1
15,05-03-24,04 : 15,bull,2112.6,07 : 30,2117.21,4.61,31.71
16,06-03-24,11 : 05,bull,2126.3,13 : 35,2129.8,3.5,35.21
17,07-03-24,13 : 35,bull,2155.4,15 : 25,2161.24,5.84,41.05
18,07-03-24,16 : 50,bull,2153.1,01 : 55,2161.84,8.74,49.79
19,08-03-24,05 : 25,bull,2156.1,08 : 30,2160.35,4.25,54.04
20,08-03-24,21 : 30,bull,2176.7,00 : 05,2180.88,4.18,58.22
21,11-03-24,08 : 20,bull,2179.3,15 : 40,2183.64,4.34,62.56
22,12-03-24,06 : 10,bull,2178.3,,2176.21,-2.09,60.47
23,14-03-24,08 : 20,bull,2170,11 : 45,2171.91,1.91,62.38
24,14-03-24,14 : 40,bull,2167.3,,2162.7,-4.6,57.78
25,15-03-24,14 : 20,bull,2165.3,,2164.24,-1.06,56.72
26,19-03-24,03 : 55,bull,2160.2,10 : 15,2150.2,-10,46.72
27,19-03-24,10 : 45,bull,2150.4,,2153.07,2.67,49.39
28,20-03-24,02 : 50,bull,2156.3,03 : 20,2159.69,3.39,52.78
29,20-03-24,07 : 40,bull,2158.1,,2154.74,-3.36,49.42
30,21-03-24,10 : 55,bull,2201.3,12 : 10,2209.38,8.08,57.5
31,21-03-24,17 : 10,bull,2172.7,,2180.86,8.16,65.66
32,25-03-24,21 : 30,bull,2172.8,,2170.36,-2.44,63.22
33,26-03-24,15 : 15,bull,2192.3,15 : 40,2182.3,-10,53.22
34,26-03-24,16 : 05,bull,2185.8,17 : 10,2175.8,-10,43.22
35,26-03-24,18 : 10,bull,2176.4,,2175.96,-0.44,42.78
36,27-03-24,14 : 45,bull,2187.2,22 : 15,2194.9,7.7,50.48
37,28-03-24,02 : 25,bull,2189.5,04 : 25,2194,4.5,54.98
38,28-03-24,10 : 20,bull,2193.6,12 : 20,2206.25,12.65,67.63
39,01-04-24,14 : 30,bull,2249.7,16 : 05,2255.65,5.95,73.58
40,01-04-24,17 : 50,bull,2235.7,22 : 55,2244.65,8.95,82.53
41,03-04-24,11 : 15,bull,2269.9,17 : 10,2279.36,9.46,91.99
42,04-04-24,09 : 55,bull,2296,15 : 05,2286,-10,81.99
43,04-04-24,15 : 55,bull,2288.2,17 : 30,2298.9,10.7,92.69
44,04-04-24,20 : 10,bull,2290.4,21 : 10,2294.97,4.57,97.26
45,04-04-24,23 : 10,bull,2287,,2289.64,2.64,99.9
46,08-04-24,02 : 05,bull,2311.9,04 : 35,2317.14,5.24,105.14
47,08-04-24,15 : 50,bull,2330.4,17 : 00,2320.4,-10,95.14
48,09-04-24,14 : 50,bull,2353,18 : 50,2343,-10,85.14
49,10-04-24,04 : 55,bull,2348.5,07 : 30,2354.94,6.44,91.58
50,10-04-24,12 : 55,bull,2349.2,15 : 30,2339.2,-10,81.58
51,12-04-24,14 : 45,bull,2395.1,17 : 10,2414.07,18.97,100.55
52,12-04-24,19 : 55,bull,2371.6,20 : 10,2361.6,-10,90.55
53,12-04-24,20 : 30,bull,2358.2,20 : 40,2348.2,-10,80.55
54,12-04-24,20 : 55,bull,2357.5,21 : 25,2347.5,-10,70.55
55,12-04-24,22 : 10,bull,2338.8,,2343.25,4.45,75
56,16-04-24,10 : 35,bull,2372.3,18 : 00,2388.69,16.39,91.39
57,17-04-24,01 : 00,bull,2383.3,09 : 15,2373.3,-10,81.39
58,17-04-24,09 : 35,bull,2377.9,11 : 25,2388.58,10.68,92.07
59,17-04-24,16 : 00,bull,2383.7,16 : 40,2393.46,9.76,101.83
60,17-04-24,20 : 25,bull,2373.2,,2372.15,-1.05,100.78
61,19-04-24,03 : 45,bull,2377.4,04 : 00,2383.84,6.44,107.22
62,19-04-24,14 : 35,bull,2377,,2376.77,-0.23,106.99
63,19-04-24,23 : 35,bull,2389.2,04 : 20,2379.2,-10,96.99
64,22-04-24,04 : 50,bull,2378.6,,2378,-0.6,96.39
65,24-04-24,04 : 20,bull,2321.8,06 : 20,2326,4.2,100.59
66,24-04-24,11 : 50,bull,2318.8,,2316.77,-2.03,98.56
67,24-04-24,23 : 55,bull,2315.7,,2315.96,0.26,98.82
68,25-04-24,17 : 00,bull,2320.7,17 : 35,2342.69,21.99,120.81
69,26-04-24,03 : 50,bull,2330.2,05 : 10,2334.95,4.75,125.56
70,26-04-24,15 : 25,bull,2344.3,17 : 35,2334.3,-10,115.56
71,26-04-24,18 : 15,bull,2334.4,,2331.97,-2.43,113.13
72,29-04-24,15 : 55,bull,2333.2,19 : 10,2343.38,10.18,123.31
73,02-05-24,06 : 25,bull,2319.4,10 : 15,2309.4,-10,113.31
74,02-05-24,11 : 45,bull,2306.6,13 : 10,2296.6,-10,103.31
75,02-05-24,13 : 25,bull,2298.3,,2299.26,0.96,104.27
76,07-05-24,05 : 25,bull,2322.4,11 : 10,2312.4,-10,94.27
77,07-05-24,11 : 50,bull,2316.5,,2313.74,-2.76,91.51
78,10-05-24,16 : 10,bull,2365.1,03 : 45,2364.1,-1,90.51
79,13-05-24,04 : 50,bull,2358.9,,2352.61,-6.29,84.22
80,15-05-24,08 : 30,bull,2357.2,10 : 05,2361.52,4.32,88.54
81,15-05-24,17 : 10,bull,2363.7,18 : 05,2377.65,13.95,102.49
82,16-05-24,13 : 50,bull,2383.7,16 : 15,2373.7,-10,92.49
83,20-05-24,15 : 50,bull,2413.8,20 : 20,2431.5,17.7,110.19
84,21-05-24,19 : 50,bull,2421.7,22 : 20,2424.79,3.09,113.28
85,27-05-24,11 : 10,bull,2340.5,11 : 40,2344.24,3.74,117.02
86,28-05-24,01 : 15,bull,2352.7,09 : 20,2342.7,-10,107.02
87,28-05-24,10 : 20,bull,2344.8,,2344.94,0.14,107.16
88,29-05-24,09 : 45,bull,2354.9,12 : 00,2344.9,-10,97.16
89,29-05-24,12 : 45,bull,2344.7,,2345.77,1.07,98.23
90,31-05-24,06 : 40,bull,2339.7,15 : 30,2349.46,9.76,107.99
91,31-05-24,18 : 45,bull,2333,,2330.1,-2.9,105.09
92,04-06-24,05 : 05,bull,2347.6,11 : 00,2337.6,-10,95.09
93,04-06-24,11 : 45,bull,2335.1,,2329.93,-5.17,89.92
94,05-06-24,09 : 55,bull,2333.7,15 : 20,2336.05,2.35,92.27
95,06-06-24,09 : 45,bull,2366.8,15 : 45,2356.8,-10,82.27
96,07-06-24,05 : 10,bull,2371.3,07 : 20,2382.46,11.16,93.43
97,11-06-24,05 : 25,bull,2303,,2301.92,-1.08,92.35
98,12-06-24,04 : 50,bull,2312.4,09 : 30,2317.15,4.75,97.1
99,12-06-24,10 : 50,bull,2313.4,15 : 30,2324.56,11.16,108.26
100,12-06-24,21 : 30,bull,2331.4,21 : 45,2321.4,-10,98.26
101,12-06-24,22 : 50,bull,2319.9,04 : 35,2309.9,-10,88.26
102,13-06-24,05 : 00,bull,2313,,2314.19,1.19,89.45
103,17-06-24,02 : 30,bull,2328.4,08 : 55,2318.4,-10,79.45
104,17-06-24,09 : 15,bull,2319.2,,2317.02,-2.18,77.27
105,18-06-24,08 : 35,bull,2323.2,,2315.56,-7.64,69.63
106,19-06-24,07 : 35,bull,2328.1,11 : 05,2334.28,6.18,75.81
107,19-06-24,13 : 05,bull,2328.5,15 : 00,2332.57,4.07,79.88
108,20-06-24,11 : 50,bull,2334.8,13 : 40,2339.14,4.34,84.22
109,21-06-24,04 : 55,bull,2360.6,08 : 35,2364.29,3.69,87.91
110,21-06-24,10 : 30,bull,2357.2,11 : 25,2367.72,10.52,98.43
111,21-06-24,17 : 30,bull,2335.5,,2329.99,-5.51,92.92
112,25-06-24,03 : 45,bull,2329.6,,2326.52,-3.08,89.84
113,25-06-24,16 : 15,bull,2326.2,,2325.73,-0.47,89.37
114,28-06-24,04 : 50,bull,2320.9,08 : 35,2324.23,3.33,92.7
115,28-06-24,17 : 10,bull,2332.2,03 : 25,2322.2,-10,82.7
